State,Parliament Constituency,Winning Candidate,Total Votes,Margin
Jammu and Kashmir,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794
Jammu and Kashmir,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373
Jammu and Kashmir,JAMMU(5),JUGAL KISHORE,687588,135498
Jammu and Kashmir,BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142
Jharkhand,Godda(3),NISHIKANT DUBEY,693140,101813
Jharkhand,Chatra(4),KALI CHARAN SINGH,574556,220959
Jharkhand,Kodarma(5),ANNPURNA DEVI,791657,377014
Jharkhand,Dhanbad(7),DULU MAHATO,789172,331583
Jharkhand,Ranchi(8),SANJAY SETH,664732,120512
Jharkhand,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782
Jharkhand,Palamau(13),VISHNU DAYAL RAM,770362,288807
Jharkhand,Hazaribagh(14),MANISH JAISWAL,654613,276686
Jharkhand,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264
Jharkhand,Dumka(2),NALIN SOREN,547370,22527
Jharkhand,Singhbhum(10),JOBA MAJHI,520164,168402
Jharkhand,Khunti(11),KALI CHARAN MUNDA,511647,149675
Jharkhand,Lohardaga(12),SUKHDEO BHAGAT,483038,139138
Jharkhand,Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880
Karnataka,Belgaum(2),JAGADISH SHETTAR,762029,178437
Karnataka,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
Karnataka,Bijapur(4),RAMESH JIGAJINAGI,672781,77229
Karnataka,Haveri(10),BASAVARAJ BOMMAI,705538,43513
Karnataka,Dharwad(11),PRALHAD JOSHI,716231,97324
Karnataka,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428
Karnataka,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715
Karnataka,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175
Karnataka,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208
Karnataka,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121
Karnataka,Tumkur(19),V. SOMANNA,720946,175594
Karnataka,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
Karnataka,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647
Karnataka,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476
Karnataka,Bangalore central(25),P C MOHAN,658915,32707
Karnataka,Bangalore South(26),TEJASVI SURYA,750830,277083
Karnataka,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460
Karnataka,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834
Karnataka,Gulbarga(5),RADHAKRISHNA,652321,27205
Karnataka,Raichur(6),G. KUMAR NAIK.,670966,79781
Karnataka,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875
Karnataka,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357
Karnataka,Bellary(9),E. TUKARAM,730845,98992
Karnataka,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094
Karnataka,Hassan(16),SHREYAS. M. PATEL,672988,42649
Karnataka,Chamarajanagar(22),SUNIL BOSE,751671,188706
Karnataka,Mandya(20),H.D. KUMARASWAMY,851881,284620
Karnataka,Kolar(28),M. MALLESH BABU,691481,71388
Kerala,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649
Kerala,Kannur(2),K. SUDHAKARAN,518524,108982
Kerala,Vadakara(3),SHAFI PARAMBIL,557528,114506
Kerala,Wayanad(4),RAHUL GANDHI,647445,364422
Kerala,Kozhikode(5),M. K. RAGHAVAN,520421,146176
Kerala,Palakkad(8),V K SREEKANDAN,421169,75283
Kerala,Chalakudy(11),BENNY BEHANAN,394171,63754
Kerala,Ernakulam(12),HIBI EDEN,482317,250385
Kerala,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727
Kerala,Alappuzha(15),K. C VENUGOPAL,404560,63513
Kerala,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868
Kerala,Pathanamthitta(17),ANTO ANTONY,367623,66119
Kerala,Attingal(19),ADV ADOOR PRAKASH,328051,684
Kerala,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077
Kerala,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118
Kerala,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760
Kerala,Alathur (9),K.RADHAKRISHNAN,403447,20111
Kerala,Thrissur(10),SURESH GOPI,412338,74686
Kerala,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266
Kerala,Kollam(18),N K PREMACHANDRAN,443628,150302
Ladakh,Ladakh(1),MOHMAD HANEEFA,65259,27862
Lakshadweep,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647
Madhya Pradesh,MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530
Madhya Pradesh,BHIND(2),SANDHYA RAY,537065,64840
Madhya Pradesh,GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210
Madhya Pradesh,GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929
Madhya Pradesh,SAGAR(5),DR. LATA WANKHEDE,787979,471222
Madhya Pradesh,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312
Madhya Pradesh,DAMOH(7),RAHUL SINGH LODHI,709768,406426
Madhya Pradesh,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
Madhya Pradesh,SATNA(9),GANESH SINGH,459728,84949
Madhya Pradesh,REWA(10),JANARDAN MISHRA,477459,193374
Madhya Pradesh,SIDHI(11),DR. RAJESH MISHRA,583559,206416
Madhya Pradesh,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340
Madhya Pradesh,JABALPUR(13),ASHISH DUBEY,790133,486674
Madhya Pradesh,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846
Madhya Pradesh,BALAGHAT(15),BHARTI PARDHI,712660,174512
Madhya Pradesh,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618
Madhya Pradesh,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696
Madhya Pradesh,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408
Madhya Pradesh,BHOPAL(19),ALOK SHARMA,981109,501499
Madhya Pradesh,RAJGARH(20),RODMAL NAGAR,758743,146089
Madhya Pradesh,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225
Madhya Pradesh,UJJAIN(22),ANIL FIROJIYA,836104,375860
Madhya Pradesh,MANDSOUR(23),SUDHEER GUPTA,945761,500655
Madhya Pradesh,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232
Madhya Pradesh,DHAR(25),SAVITRI THAKUR,794449,218665
Madhya Pradesh,INDORE(26),SHANKAR LALWANI,1226751,1175092
Madhya Pradesh,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018
Madhya Pradesh,KHANDWA(28),GYANESHWAR PATIL,862679,269971
Madhya Pradesh,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761
