Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Bharatiya Janata Party - BJP,Haveri(10),BASAVARAJ BOMMAI,705538,43513
Bharatiya Janata Party - BJP,Dharwad(11),PRALHAD JOSHI,716231,97324
Bharatiya Janata Party - BJP,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428
Bharatiya Janata Party - BJP,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715
Bharatiya Janata Party - BJP,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175
Bharatiya Janata Party - BJP,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208
Bharatiya Janata Party - BJP,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121
Bharatiya Janata Party - BJP,Tumkur(19),V. SOMANNA,720946,175594
Bharatiya Janata Party - BJP,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
Bharatiya Janata Party - BJP,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647
Bharatiya Janata Party - BJP,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476
Bharatiya Janata Party - BJP,Bangalore central(25),P C MOHAN,658915,32707
Bharatiya Janata Party - BJP,Bangalore South(26),TEJASVI SURYA,750830,277083
Bharatiya Janata Party - BJP,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460
Bharatiya Janata Party - BJP,Thrissur(10),SURESH GOPI,412338,74686
Bharatiya Janata Party - BJP,MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530
Bharatiya Janata Party - BJP,BHIND(2),SANDHYA RAY,537065,64840
Bharatiya Janata Party - BJP,GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210
Bharatiya Janata Party - BJP,GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929
Bharatiya Janata Party - BJP,SAGAR(5),DR. LATA WANKHEDE,787979,471222
Bharatiya Janata Party - BJP,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312
Bharatiya Janata Party - BJP,DAMOH(7),RAHUL SINGH LODHI,709768,406426
Bharatiya Janata Party - BJP,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
Bharatiya Janata Party - BJP,SATNA(9),GANESH SINGH,459728,84949
Bharatiya Janata Party - BJP,REWA(10),JANARDAN MISHRA,477459,193374
Bharatiya Janata Party - BJP,SIDHI(11),DR. RAJESH MISHRA,583559,206416
Bharatiya Janata Party - BJP,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340
Bharatiya Janata Party - BJP,JABALPUR(13),ASHISH DUBEY,790133,486674
Bharatiya Janata Party - BJP,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846
