Parliament Constituency,Winning Candidate,Total Votes,Margin
TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
BARMER(17),UMMEDA RAM BENIWAL,704676,118176
TIRUVALLUR(1),Sasikanth Senthil,796956,572155
KRISHNAGIRI(9),GOPINATH K,492883,192486
KARUR(23),JOTHIMANI. S,534906,166816
CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
MAYILADUTHURAI(28),SUDHA R,518459,271183
SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
Saharanpur(1),IMRAN MASOOD,547967,64542
Sitapur(30),RAKESH RATHOR,531138,89641
Rae Bareli(36),RAHUL GANDHI,687649,390030
Amethi(37),KISHORI LAL,539228,167196
Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
Barabanki(53),TANUJ PUNIA,719927,215704
Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
Khunti(11),KALI CHARAN MUNDA,511647,149675
Lohardaga(12),SUKHDEO BHAGAT,483038,139138
Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
Nagarkurnool(12),DR.MALLU RAVI,465072,94414
Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
Warangal(15),KADIYAM KAVYA,581294,220339
Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165
Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
Chandigarh(1),MANISH TEWARI,216657,2504
Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647
PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
